中宁县+中卫市
华莹市+广安市
咸安区+咸宁市
墉桥区+宿州市
岳池县+广安市
武胜县+广安市
灵武市+银川市
邻水县+广安市
安居区+遂宁市
红寺堡区+吴忠市
丁青县+昌都
七星区+桂林市
七里河区+兰州市
万全县+张家口市
万安县+吉安市
万山特区+铜仁
万州区+重庆市
万年县+上饶市
万柏林区+太原市
万江区+东莞市
万源市+达川
万盛区+重庆市
万秀区+梧州市
万荣县+运城市
万载县+宜春市
三元区+三明市
三原县+咸阳市
三台县+绵阳市
三水区+佛山市
三江侗族自治县+柳州市
三河市+廊坊市
三穗县+黔东南苗族侗族自治州
三都水族自治县+黔南布依族苗族自治州
三门县+台州市
上城区+杭州市
上思县+防城港市
上杭县+龙岩
上林县+南宁市
上栗县+萍乡市
上犹县+赣州市
上甘岭区+伊春市
上蔡县+驻马店
上虞市+绍兴市
上街区+郑州市
上饶县+上饶市
上饶市+上饶市
上高县+宜春市
下关区+南京市
下城区+杭州市
下花园区+张家口市
下陆区+黄石市
且末县+巴音郭楞蒙古自治州
丘北县+文山壮族苗族自治州
丛台区+邯郸市
东丰县+辽源市
东丽区+天津市
东乌珠穆沁旗+锡林郭勒盟
东乡县+抚州市
东乡族自治县+临夏回族自治州
东光县+沧州市
东兰县+河池市
东兴区+内江市
东兴市+防城港市
东区+攀枝花市
东台市+盐城市
东城区+东莞市+北京市
东宁县+牡丹江市
东安区+牡丹江市
东安县+永州市
东宝区+荆门市
东山区+乌鲁木齐市+广州市+鹤岗市
东山县+漳州市
东川区+昆明市
东市区+合肥市+蚌埠市
东平县+泰安市
东方市+省直辖行政单位
东昌区+通化市
东昌府区+聊城市
东明县+菏泽
东河区+包头市
东海县+连云港市
东港区+日照市
东港市+丹东市
东湖区+南昌市
东源县+河源市
东胜市+鄂尔多斯
东至县+池州市
东营区+东营市
东西湖区+武汉市
东辽县+辽源市
东阳市+金华市
东阿县+聊城市
东陵区+沈阳市
东风区+伊春市
两当县+陇南
个旧市+红河哈尼族彝族自治州
中原区+郑州市
中山区+大连市
中市区+合肥市+蚌埠市
中方县+怀化市
中江县+德阳市
中牟县+郑州市
中甸县+迪庆藏族自治州
中站区+焦作市
中阳县+吕梁市
丰南市+唐山市
丰县+徐州市
丰台区+北京市
丰城市+宜春市
丰宁满族自治县+承德市
丰泽区+泉州市
丰润县+唐山市
丰满区+吉林市
丰都县+重庆市
丰镇市+乌兰察布盟
丰顺县+梅州市
临县+吕梁市
临城县+邢台市
临夏县+临夏回族自治州
临夏市+临夏回族自治州
临安市+杭州市
临川市+抚州市
临朐县+潍坊市
临桂县+桂林市
临武县+郴州市
临江市+白山市
临汾市+临汾市
临沧县+临沧
临沭县+临沂市
临河市+巴彦淖尔盟
临泉县+阜阳市
临泽县+张掖
临洮县+定西
临海市+台州市
临淄区+淄博市
临清市+聊城市
临渭区+渭南市
临湘市+岳阳市
临漳县+邯郸市
临潭县+甘南藏族自治州
临潼区+西安市
临澧县+常德市
临猗县+运城市
临西县+邢台市
临邑县+德州市
临颍县+漯河市
临高县+省直辖行政单位
丹凤县+商洛
丹寨县+黔东南苗族侗族自治州
丹巴县+甘孜藏族自治州
丹徒县+镇江市
丹棱县+眉山
丹江口市+十堰市
丹阳市+镇江市
丽水市+丽水市
丽江纳西族自治县+丽江
乃东县+山南
久治县+果洛藏族自治州
义乌市+金华市
义县+锦州市
义马市+三门峡市
乌什县+阿克苏
乌伊岭区+伊春市
乌兰县+海西蒙古族藏族自治州
乌兰浩特市+兴安盟
乌审旗+鄂尔多斯旧称
乌尔禾区+克拉玛依市
乌当区+贵阳市
乌恰县+克孜勒苏柯尔克孜自治州
乌拉特中旗+巴彦淖尔盟
乌拉特前旗+巴彦淖尔盟
乌拉特后旗+巴彦淖尔盟
乌苏市+塔城
乌达区+乌海市
乌马河区+伊春市
乌鲁木齐县+乌鲁木齐市
乐业县+百色市
乐东黎族自治县+省直辖行政单位
乐亭县+唐山市
乐安县+抚州市
乐平市+景德镇市
乐昌市+韶关市
乐清市+温州市
乐至县+资阳
乐都县+海东
乐陵市+德州市
乔口区+武汉市
九台市+长春市
九寨沟县+阿坝藏族羌族自治州
九江县+九江市
九里区+徐州市
九龙县+甘孜藏族自治州
九龙坡区+重庆市
习水县+遵义市
乡城县+甘孜藏族自治州
乡宁县+临汾市
乳山市+威海市
乳源瑶族自治县+韶关市
乾县+咸阳市
乾安县+松原市
二七区+郑州市
二连浩特市+锡林郭勒盟
二道区+长春市
二道江区+通化市
于洪区+沈阳市
于田县+和田
于都县+赣州市
云县+临沧
云台区+连云港市
云和县+丽水市
云城区+云浮市
云安县+云浮市
云岩区+贵阳市
云梦县+孝感市
云溪区+岳阳市
云阳县+重庆市
云霄县+漳州市
云龙区+徐州市
云龙县+大理白族自治州
互助土族自治县+海东
五华区+昆明市
五华县+梅州市
五原县+巴彦淖尔盟
五台县+忻州市
五大连池市+黑河市
五家渠市+省直辖行政单位
五寨县+忻州市
五峰土家族自治县+宜昌市
五常市+哈尔滨市
五指山市+省直辖行政单位
五河县+蚌埠市
五莲县+日照市
五营区+伊春市
五通桥区+乐山市
井冈山市+吉安市
井研县+乐山市
井陉县+石家庄市
井陉矿区+石家庄市
亚东县+日喀则
交口县+吕梁市
交城县+吕梁市
京口区+镇江市
京山县+荆门市
什邡市+德阳市
仁化县+韶关市
仁和区+攀枝花市
仁寿县+眉山
仁布县+日喀则
仁怀市+遵义市
介休市+晋中市
从化市+广州市
从江县+黔东南苗族侗族自治州
仓山区+福州市
仙居县+台州市
仙桃市+省直辖行政单位
仙游县+莆田市
代县+忻州市
仪征市+扬州市
仪陇县+南充市
仲巴县+日喀则
任丘市+沧州市
任县+邢台市
任城区+济宁市
伊吾县+哈密
伊宁县+伊犁
伊宁市+伊犁
伊川县+洛阳市
伊春区+伊春市
伊犁+伊犁
伊通满族自治县+四平市
伊金霍洛旗+鄂尔多斯
伍家岗区+宜昌市
休宁县+黄山市
会东县+凉山彝族自治州
会同县+怀化市
会宁县+白银市
会昌县+赣州市
会泽县+曲靖市
会理县+凉山彝族自治州
伽师县+喀什
余姚市+宁波市
余干县+上饶市
余庆县+遵义市
余杭市+杭州市
余江县+鹰潭市
佛冈县+清远市
佛坪县+汉中市
佳县+榆林
依兰县+哈尔滨市
依安县+齐齐哈尔市
侯马市+临汾市
保亭黎族苗族自治县+省直辖行政单位
保山市+保山
保康县+襄樊市
保德县+忻州市
保靖县+湘西土家族苗族自治州
信丰县+赣州市
信宜市+茂名市
修文县+贵阳市
修武县+焦作市
修水县+九江市
偃师市+洛阳市
偏关县+忻州市
儋州市+省直辖行政单位
元坝区+广元市
元宝区+丹东市
元宝山区+赤峰市
元氏县+石家庄市
元江哈尼族彝族傣族自治县+玉溪市
元谋县+楚雄彝族自治州
元阳县+红河哈尼族彝族自治州
光山县+信阳市
光泽县+南平市
克东县+齐齐哈尔市
克什克腾旗+赤峰市
克山县+齐齐哈尔市
克拉玛依区+克拉玛依市
兖州市+济宁市
全南县+赣州市
全州县+桂林市
全椒县+滁州市
八公山区+淮南市
八宿县+昌都
八步区+贺州市
八道江区+白山市
公主岭市+四平市
公安县+荆州市
六合区+南京市
六枝特区+六盘水市
兰坪白族普米族自治县+怒江傈僳族自治州
兰山区+临沂市
兰溪市+金华市
兰考县+开封市
兰西县+绥化市
共和县+海南藏族自治州
关岭布依族苗族自治县+安顺
兴业县+玉林市
兴义市+黔西南布依族苗族自治州
兴仁县+黔西南布依族苗族自治州
兴化市+泰州市
兴县+吕梁市
兴和县+乌兰察布盟
兴国县+赣州市
兴城市+葫芦岛市
兴宁区+南宁市
兴宁市+梅州市
兴安区+鹤岗市
兴安县+桂林市
兴宾区+来宾市
兴山区+鹤岗市
兴山县+宜昌市
兴平市+咸阳市
兴庆区+银川市
兴文县+宜宾市
兴海县+海南藏族自治州
兴隆县+承德市
兴隆台区+盘锦市
冀州市+衡水市
内丘县+邢台市
内乡县+南阳市
内黄县+安阳市
册亨县+黔西南布依族苗族自治州
冕宁县+凉山彝族自治州
农安县+长春市
冠县+聊城市
冷水江市+娄底
冷水滩区+永州市
准格尔旗+鄂尔多斯
凉城县+乌兰察布盟
凌云县+百色市
凌河区+锦州市
凌海市+锦州市
凌源市+朝阳市
凤冈县+遵义市
凤凰县+湘西土家族苗族自治州
凤县+宝鸡市
凤台县+淮南市
凤城市+丹东市
凤山县+河池市
凤庆县+临沧
凤翔县+宝鸡市
凤阳县+滁州市
凭祥市+崇左市
凯里市+黔东南苗族侗族自治州
分宜县+新余市
刚察县+海北藏族自治州
利川市+恩施土家族苗族自治州
利州区+广元市
利津县+东营市
利通区+吴忠市
前进区+伊春市
前郭尔罗斯蒙古族自治县+松原市
剑川县+大理白族自治州
剑河县+黔东南苗族侗族自治州
剑阁县+广元市
加查县+山南
务川仡佬族苗族自治县+遵义市
勃利县+七台河市
勉县+汉中市
勐海县+西双版纳傣族自治州
勐腊县+西双版纳傣族自治州
化州市+茂名市
化德县+乌兰察布盟
化隆回族自治县+海东
北仑区+宁波市
北关区+安阳市
北塔区+邵阳市
北塘区+无锡市
北宁市+锦州市
北安市+黑河市
北川县+绵阳市
北市区+保定市
北戴河区+秦皇岛市
北流市+玉林市
北湖区+郴州市
北碚区+重庆市
北票市+朝阳市
北站区+新乡市
北辰区+天津市
北道区+天水市
千山区+鞍山市
千阳县+宝鸡市
华亭县+平凉
华县+渭南市
华坪县+丽江
华宁县+玉溪市
华安县+漳州市
华容区+鄂州市
华容县+岳阳市
华池县+庆阳
华阴市+渭南市
华龙区+濮阳市
卓尼县+甘南藏族自治州
卓资县+乌兰察布盟
单县+菏泽
南丰县+抚州市
南丹县+河池市
南乐县+濮阳市
南关区+开封市+长春市
南华县+楚雄彝族自治州
南县+益阳市
南召县+南阳市
南和县+邢台市
南城区+东莞市
南城县+抚州市
南安市+泉州市
南宫市+邢台市
南山区+深圳市+鹤岗市
南山矿区+乌鲁木齐市
南岔区+伊春市
南岗区+哈尔滨市
南岳区+衡阳市
南岸区+重庆市
南川市+重庆市
南市区+保定市
南康市+赣州市
南开区+天津市
南昌县+南昌市
南明区+贵阳市
南木林县+日喀则
南汇区+上海市
南江县+巴中
南浔区+湖州市
南海区+佛山市
南涧彝族自治县+大理白族自治州
南溪县+宜宾市
南漳县+襄樊市
南澳县+汕头市
南皮县+沧州市
南票区+葫芦岛市
南芬区+本溪市
南谯区+滁州市
南郊区+大同市
南郑县+汉中市
南部县+南充市
南长区+无锡市
南陵县+芜湖市
南雄市+韶关市
南靖县+漳州市
博乐市+博尔塔拉蒙古自治州
博兴县+滨州
博山区+淄博市
博湖县+巴音郭楞蒙古自治州
博爱县+焦作市
博白县+玉林市
博罗县+惠州市
博野县+保定市
卢氏县+三门峡市
卢湾区+上海市
卢龙县+秦皇岛市
卧龙区+南阳市
卫东区+平顶山市
卫辉市+新乡市
印江土家族苗族自治县+铜仁
即墨市+青岛市
历下区+济南市
历城区+济南市
原州区+固原
原平市+忻州市
原阳县+新乡市
友好区+伊春市
友谊县+双鸭山市
双台子区+盘锦市
双城市+哈尔滨市
双塔区+朝阳市
双峰县+娄底
双柏县+楚雄彝族自治州
双桥区+承德市+重庆市
双江拉祜族佤族布朗族傣族自治县+临沧
双流县+成都市
双清区+邵阳市
双滦区+承德市
双牌县+永州市
双辽市+四平市
双阳区+长春市
叙永县+泸州市
叠彩区+桂林市
古丈县+湘西土家族苗族自治州
古交市+太原市
古冶区+唐山市
古县+临汾市
古塔区+锦州市
古浪县+武威
古田县+宁德市
古蔺县+泸州市
句容市+镇江市
召陵区+漯河市
台儿庄区+枣庄市
台前县+濮阳市
台安县+鞍山市
台山市+江门市
台江区+福州市
台江县+黔东南苗族侗族自治州
右江区+百色市
右玉县+朔州市
叶县+平顶山市
叶城县+喀什
合作市+甘南藏族自治州
合山市+来宾市
合川市+重庆市
合水县+庆阳
合江县+泸州市
合浦县+北海市
合阳县+渭南市
吉利区+洛阳市
吉县+临汾市
吉安县+吉安市
吉州区+吉安市
吉木乃县+阿勒泰
吉木萨尔县+昌吉回族自治州
吉水县+吉安市
吉隆县+日喀则
吉首市+湘西土家族苗族自治州
同仁县+黄南藏族自治州
同安区+厦门市
同德县+海南藏族自治州
同心县+吴忠市
同江市+伊春市
名山县+雅安
吐鲁番市+吐鲁番
向阳区+伊春市+鹤岗市
君山区+岳阳市
含山县+巢湖市
启东市+南通市
吴兴区+湖州市
吴县市+苏州市
吴堡县+榆林
吴川市+湛江市
吴旗县+延安市
吴桥县+沧州市
吴江市+苏州市
呈贡县+昆明市
周口市+周口市
周宁县+宁德市
周村区+淄博市
周至县+西安市
呼兰区+哈尔滨市
呼图壁县+昌吉回族自治州
呼玛县+大兴安岭
和县+巢湖市
和布克赛尔蒙古自治县+塔城
和平区+天津市+沈阳市
和平县+河源市
和政县+临夏回族自治州
和林格尔县+呼和浩特市
和田县+和田
和田市+和田
和硕县+巴音郭楞蒙古自治州
和静县+巴音郭楞蒙古自治州
和顺县+晋中市
和龙市+延边朝鲜族自治州
咸丰县+恩施土家族苗族自治州
哈密市+哈密
哈巴河县+阿勒泰
响水县+盐城市
唐县+保定市
唐河县+南阳市
唐海县+唐山市
商南县+商洛
商城县+信阳市
商州市+商洛
商水县+周口市
商河县+济南市
商都县+乌兰察布盟
喀什市+喀什
喀喇沁左翼蒙古族自治县+朝阳市
喀喇沁旗+赤峰市
喜德县+凉山彝族自治州
嘉善县+嘉兴市
嘉定区+上海市
嘉祥县+济宁市
嘉禾县+郴州市
嘉荫县+伊春市
嘉陵区+南充市
嘉鱼县+咸宁市
嘉黎县+那曲
噶尔县+阿里
囊谦县+玉树藏族自治州
四会市+肇庆市
四子王旗+乌兰察布盟
四方区+青岛市
四方台区+双鸭山市
回民区+呼和浩特市
团风县+黄冈市
围场满族蒙古族自治县+承德市
固始县+信阳市
固安县+廊坊市
固镇县+蚌埠市
固阳县+包头市
图们市+延边朝鲜族自治州
图木舒克市+省直辖行政单位
土默特右旗+包头市
土默特左旗+呼和浩特市
坊子区+潍坊市
坡头区+湛江市
垣曲县+运城市
垦利县+东营市
垫江县+重庆市
城东区+西宁市
城中区+柳州市+西宁市
城关区+兰州市+拉萨市
城北区+衡阳市+西宁市
城区+大同市+晋城市+汕尾市+盐城市+铜川市+长治市+阳泉市
城南区+衡阳市
城厢区+莆田市
城口县+重庆市
城固县+汉中市
城子河区+鸡西市
城步苗族自治县+邵阳市
城西区+西宁市
城阳区+青岛市
堆龙德庆县+拉萨市
塔什库尔干塔吉克自治县+喀什
塔城市+塔城
塔河县+大兴安岭
塘沽区+天津市
增城市+广州市
墨江哈尼族自治县+思茅市
墨玉县+和田
墨竹工卡县+拉萨市
墨脱县+林芝
壤塘县+阿坝藏族羌族自治州
壶关县+长治市
复兴区+邯郸市
夏县+运城市
夏河县+甘南藏族自治州
夏津县+德州市
夏邑县+商丘市
多伦县+锡林郭勒盟
大东区+沈阳市
大丰市+盐城市
大余县+赣州市
大关县+昭通
大兴区+北京市
大冶市+黄石市
大化瑶族自治县+河池市
大厂回族自治县+廊坊市
大同区+大庆市
大同县+大同市
大名县+邯郸市
大城县+廊坊市
大埔县+梅州市
大姚县+楚雄彝族自治州
大宁县+临汾市
大安区+自贡市
大安市+白城市
大悟县+孝感市
大新县+崇左市
大方县+毕节
大武口区+石嘴山市
大洼县+盘锦市
大渡口区+重庆市
大港区+天津市
大理市+大理白族自治州
大田县+三明市
大石桥市+营口市
大祥区+邵阳市
大竹县+达川
大英县+遂宁市
大荔县+渭南市
大观区+安庆市
大足县+重庆市
大通区+淮南市
大通回族土族自治县+西宁市
大邑县+成都市
天元区+株洲市
天全县+雅安
天台县+台州市
天宁区+常州市
天山区+乌鲁木齐市
天峨县+河池市
天峻县+海西蒙古族藏族自治州
天心区+长沙市
天柱县+黔东南苗族侗族自治州
天桥区+济南市
天河区+广州市
天祝藏族自治县+武威
天等县+崇左市
天镇县+大同市
天长市+滁州市
天门市+省直辖行政单位
太仆寺旗+锡林郭勒盟
太仓市+苏州市
太和区+锦州市
太和县+阜阳市
太子河区+辽阳市
太平区+阜新市
太康县+周口市
太湖县+安庆市
太白县+宝鸡市
太谷县+晋中市
头屯河区+乌鲁木齐市
夹江县+乐山市
奇台县+昌吉回族自治州
奈曼旗+通辽市
奉化市+宁波市
奉新县+宜春市
奉节县+重庆市
奉贤区+上海市
奎屯市+伊犁哈萨克自治州
奎文区+潍坊市
如东县+南通市
如皋市+南通市
始兴县+韶关市
姚安县+楚雄彝族自治州
姜堰市+泰州市
威信县+昭通
威县+邢台市
威宁彝族回族苗族自治县+毕节
威远县+内江市
娄底市+娄底
娄烦县+太原市
婺城区+金华市
婺源县+上饶市
嫩江县+黑河市
子洲县+榆林
子长县+延安市
孙吴县+黑河市
孝义市+吕梁市
孝南区+孝感市
孝昌县+孝感市
孟州市+焦作市
孟村回族自治县+沧州市
孟津县+洛阳市
孟连傣族拉祜族佤族自治县+思茅市
宁乡县+长沙市
宁冈县+吉安市
宁化县+三明市
宁南县+凉山彝族自治州
宁县+庆阳
宁国市+宣城市
宁城县+赤峰市
宁安市+牡丹江市
宁强县+汉中市
宁明县+崇左市
宁晋县+邢台市
宁武县+忻州市
宁江区+松原市
宁河县+天津市
宁津县+德州市
宁海县+宁波市
宁蒗彝族自治县+丽江
宁远县+永州市
宁都县+赣州市
宁阳县+泰安市
宁陕县+安康
宁陵县+商丘市
安丘市+潍坊市
安义县+南昌市
安乡县+常德市
安仁县+郴州市
安化县+益阳市
安县+绵阳市
安吉县+湖州市
安国市+保定市
安图县+延边朝鲜族自治州
安塞县+延安市
安多县+那曲
安宁区+兰州市
安宁市+昆明市
安岳县+资阳
安平县+衡水市
安康市+安康
安新县+保定市
安次区+廊坊市
安泽县+临汾市
安源区+萍乡市
安溪县+泉州市
安福县+吉安市
安西县+酒泉
安达市+绥化市
安远县+赣州市
安阳县+安阳市
安陆市+孝感市
安顺市+安顺
安龙县+黔西南布依族苗族自治州
宏伟区+辽阳市
宕昌县+陇南
官渡区+昆明市
定兴县+保定市
定南县+赣州市
定安县+省直辖行政单位
定州市+保定市
定日县+日喀则
定海区+舟山市
定结县+日喀则
定襄县+忻州市
定西县+定西
定边县+榆林
定远县+滁州市
定陶县+菏泽
宛城区+南阳市
宜丰县+宜春市
宜兴市+无锡市
宜君县+铜川市
宜城市+襄樊市
宜宾县+宜宾市
宜川县+延安市
宜州市+河池市
宜昌县+宜昌市
宜春市+宜春市
宜章县+郴州市
宜良县+昆明市
宜都市+宜昌市
宜阳县+洛阳市
宜黄县+抚州市
宝丰县+平顶山市
宝兴县+雅安
宝坻区+天津市
宝塔区+延安市
宝安区+深圳市
宝山区+上海市+双鸭山市
宝应县+扬州市
宝清县+双鸭山市
宝鸡县+宝鸡市
宣化区+张家口市
宣化县+张家口市
宣威市+曲靖市
宣州区+宣城市
宣恩县+恩施土家族苗族自治州
宣武区+北京市
宣汉县+达川
容县+玉林市
容城县+保定市
宽城区+长春市
宽城满族自治县+承德市
宽甸满族自治县+丹东市
宾县+哈尔滨市
宾川县+大理白族自治州
宾阳县+南宁市
宿城区+宿迁市
宿松县+安庆市
宿豫县+宿迁市
