晴,天气晴朗
小雨,小雨
中雨,持续中雨
大雨,大雨
暴雨,暴雨
雷阵雨,电闪雷鸣，大雨倾盆
雾霾,有雾霾
多云,多云
沙尘暴,沙尘暴
台风,台风
冰雹,有冰雹
小雪,细微小雪
中雪,雪飞漫天
大雪,鹅毛大雪
晴间多云,晴间多云
大部多云,大部多云
阴,阴
阵雨,阵雨
雷阵雨伴有冰雹,雷阵雨伴有冰雹
大暴雨,大暴雨
特大暴雨,特大暴雨
冻雨,冻雨
雨夹雪,雨夹雪
阵雪,阵雪
暴雪,暴雪
浮尘,浮尘
扬沙,扬沙
强沙尘暴,强沙尘暴
雾,雾
霾,霾
风,风
大风,大风
飓风,飓风
热带风暴,热带风暴
龙卷风,龙卷风
冷,冷
热,热
